account_number,predicted_prob
100001,0.001617271673956317
100002,9.971157344486568e-06
100003,8.595551694582443e-06
100004,3.0325983484957253e-09
100005,0.0006281030005523449
100006,0.029042645692234314
100007,1.3083101074186147e-05
100008,2.898227886846752e-05
100009,0.0006910091707305517
100010,0.0001350181929649758
100011,2.108865829674168e-06
100012,0.009627983534577455
100013,2.1624352705869124e-05
100014,2.4374481224039865e-05
100015,0.00045271512503691866
100016,6.393472532030294e-05
100017,0.0006833537424483422
100018,0.00023570345348988885
100019,0.00022296075650051142
100020,5.772889934113694e-05
100021,1.9457285829361743e-05
100022,0.0006095659466226499
100023,0.002254922151495046
100024,0.00011104704600236198
100025,2.0633420626466763e-05
100026,0.002290156837815351
100027,1.4267099564439332e-05
100028,0.0001318161497425212
100029,0.0005244597679674566
100030,0.0003503843258931581
100031,4.534458579374333e-05
100032,2.167507909861348e-05
100033,0.0017505806242445541
100034,4.962982661745766e-06
100035,2.9234948979311828e-06
100036,1.1870687149673318e-05
100037,0.0029993155660847054
100038,4.1935463835567036e-08
100039,4.599999747843488e-05
100040,7.941931804420243e-06
100041,6.65492975981505e-05
100042,1.5892562880467334e-05
100043,0.00010264781027152772
100044,5.6034781640109495e-05
100045,7.816578972499293e-08
100046,5.176543176895883e-06
100047,1.9374337645700893e-05
100048,6.37007334625e-07
100049,2.2286550598249783e-05
100050,3.1537423675913776e-05
100051,5.5287931769837594e-06
100052,2.3120823058570706e-05
100053,4.783992017190922e-05
100054,6.047779600925379e-07
100055,6.645005915580707e-10
100056,0.00023546837741916676
100057,3.1299641449415365e-06
100058,7.307939526534854e-06
100059,0.001285516289896632
100060,4.3510868704627557e-07
100061,1.6754306254663715e-05
100062,6.439250814241668e-06
100063,5.520334723365867e-05
100064,0.0011238191870859913
100065,4.69452920919138e-07
100066,0.003411357966478358
100067,1.4052093116772094e-05
100068,1.367200792216812e-06
100069,0.0009087263802899506
100070,0.0012886630955869175
100071,0.0004421861423502335
100072,9.527696106008641e-06
100073,3.7285135689267256e-05
100074,4.01206102578121e-05
100075,6.204899930378855e-07
100076,0.9168516812040591
100077,2.0110271955584204e-07
100078,1.6884500842154115e-06
100079,7.090272738478794e-06
100080,3.392909504077677e-06
100081,2.8954311542924004e-07
100082,1.927274262256648e-06
100083,2.336104837376502e-05
100084,5.8601845224923245e-05
100085,4.440276533320631e-05
100086,2.698099771577078e-06
100087,0.0004568335834814048
100088,5.7225335972480056e-05
100089,2.1936167762514924e-05
100090,0.002237174081182501
100091,5.842573746775476e-05
100092,0.0008598349442908978
100093,7.536967081826266e-06
100094,0.00015261475194274914
100095,3.0127868695085993e-05
100096,7.534694154444988e-06
100097,8.244487394653576e-05
100098,3.293165008383802e-05
100099,0.0004683781219774112
100100,0.0004223167402527548
100101,0.0001727850909186663
100102,0.0002696420885653674
100103,4.2482570224104653e-05
100104,1.7287810703409815e-05
100105,3.0187582526449696e-05
100106,2.8745458976244726e-06
100107,2.830802920434843e-07
100108,0.0005128336859929674
100109,1.6592810891410946e-06
100110,0.0010105706388351286
100111,2.1054665463957376e-06
100112,0.00011843923623048418
100113,2.8658058501055704e-05
100114,0.003187925537893874
100115,0.00039300422433853816
100116,0.0001488938942079534
100117,0.00024308528125770943
100118,2.322854640156845e-06
100119,0.008027683510359778
100120,4.1600642905566955e-06
100121,0.00875404601538572
100122,1.767875458478411e-07
100123,1.6775486366140827e-05
100124,9.971024494941029e-05
100125,0.0028153832379946044
100126,1.5767004392894414e-06
100127,7.31989447295099e-05
100128,0.00498429416760896
100129,0.00013840312287111408
100130,0.00048272095424293295
100131,8.234212212976908e-06
100132,2.7724953100499134e-06
100133,0.0008111335731881279
100134,0.0001074246840662222
100135,3.3329514082816965e-06
100136,0.002293550610393128
100137,0.0006128559112895429
100138,0.009842887144520378
100139,2.563287779045298e-06
100140,1.4895157044813267e-05
100141,2.2446891335743188e-05
100142,0.0005363970173916095
100143,2.7270669726892846e-07
100144,0.003792870428632789
100145,0.002727081915968502
100146,5.344996917585404e-07
100147,0.0005159154629318129
100148,5.044715120088817e-07
100149,5.382766902590033e-05
100150,0.00010393634909883095
100151,0.00031932868339141953
100152,0.0006213322138387874
100153,1.619150908371519e-05
100154,2.8599424849531533e-05
100155,0.00046253279463924317
100156,2.586192009007272e-05
100157,0.00042230657785276646
100158,2.897018207807375e-06
100159,0.0006042607277539792
100160,9.274515632925576e-06
100161,1.491712650428038e-05
100162,2.795262754206686e-06
100163,8.933711911335364e-05
100164,0.0006256474542195899
100165,0.0003884557711011087
100166,3.2373754969399747e-06
100167,0.0002287077474697472
100168,2.4649848971690566e-06
100169,8.956880583392195e-06
100170,0.0006229142552835528
100171,0.0025639465518659857
100172,2.028288145606473e-05
100173,0.0033643697035382883
100174,0.0004144193601140347
100175,5.631748173346651e-05
100176,7.162023365063952e-06
100177,3.5213075093499526e-06
100178,3.76400239040399e-05
100179,1.1753021253984593e-05
100180,4.422046906942965e-07
100181,3.694603466960822e-05
100182,8.491954058477249e-07
100183,7.003530892038216e-07
100184,0.0026638494800485806
100185,9.731828246752905e-05
100186,1.8906348688138667e-05
100187,0.0002165813596651286
100188,0.005721072303365691
100189,2.3172312309548077e-06
100190,0.000559234044999879
100191,1.728410998860603e-05
100192,7.1754627336717534e-06
100193,5.85144423685077e-06
100194,1.191875235278188e-05
100195,0.0008206402916302956
100196,3.8467168230962065e-06
100197,1.2733349245223671e-05
100198,0.0002698748682258065
100199,8.338449232753894e-05
100200,2.0951289638307265e-05
100201,0.0004805760391524554
100202,0.00025140754192259327
100203,5.5861051841554384e-05
100204,6.123133243745048e-05
100205,1.3180328312530426e-05
100206,0.00020216192551950526
100207,6.483374827860989e-07
100208,5.132465742723366e-07
100209,7.305509512837994e-05
100210,0.0034117835775469424
100211,0.0010730908398165417
100212,1.9295129341363433e-05
100213,0.00015560060595824692
100214,0.0011177825914720782
100215,1.8215696540874844e-06
100216,0.017016334830028675
100217,0.00034683523214478005
100218,0.0034417373052499987
100219,1.222514656781375e-06
100220,0.0002515843216448255
100221,0.00012386487903029165
100222,1.9885532141057536e-06
100223,0.0010651363346198491
100224,6.596220462739068e-06
100225,4.257170048993727e-06
100226,4.609324496067297e-07
100227,2.612399526900903e-05
100228,0.0003759844630753625
100229,0.0011270624847558562
100230,6.980116670801692e-06
100231,4.790234965338863e-06
100232,1.5375367062894858e-05
100233,1.9275704977373964e-07
100234,6.609221851654482e-06
100235,2.5141373621429406e-06
100236,0.00010360732234859524
100237,2.9029312304351765e-06
100238,0.00020541655743830096
100239,1.4172805740821493e-07
100240,0.0006496088964442151
100241,0.0010508580814308243
100242,0.0003976439427633414
100243,2.3787476252369807e-05
100244,0.00029795069548974154
100245,2.374167527190545e-07
100246,4.378814770764312e-05
100247,6.458449858548681e-05
100248,1.6323561639681478e-05
100249,0.0029382802810598773
100250,0.00018333806264678805
100251,0.0015529593123831229
100252,0.00014554208376436377
100253,1.8811275555057098e-05
100254,4.891764933966682e-05
100255,0.049468315107613424
100256,7.448773819266627e-06
100257,8.498104555275787e-05
100258,1.499606848671789e-06
100259,5.451430608060018e-07
100260,0.001747895606890136
100261,2.8697991057625865e-05
100262,0.05652784965683498
100263,1.5679430395619435e-07
100264,3.1932621403301373e-06
100265,0.0006550748787307644
100266,0.0010803412898816613
100267,2.3167052380870112e-05
100268,0.0021196835314911547
100269,1.3548761181809381e-05
100270,0.0001480474740866727
100271,9.148387499889885e-07
100272,0.00012131715504103626
100273,1.972796355341284e-06
100274,0.0005230941969576811
100275,0.01946684893456058
100276,1.7198939012449251e-06
100277,0.002537875059840619
100278,0.0006698789868969555
100279,2.1967245994837115e-05
100280,0.0005117238186745349
100281,0.0043104250750550695
100282,1.4184675035294921e-05
100283,3.229961716015741e-05
100284,0.0013118491817459253
100285,0.03633240412709179
100286,4.0950254526790496e-06
100287,0.00030479136570096084
100288,0.0001364328990512543
100289,0.008612088694487742
100290,9.517599313894822e-05
100291,0.00021328230333662093
100292,2.2525285248188065e-07
100293,3.030347671094126e-05
100294,0.00011112552887362005
100295,1.6655869461946133e-06
100296,0.008487642274241298
100297,0.0009054802806235124
100298,0.001329056714230922
100299,0.00012790964020851776
100300,1.1713727050206189e-05
100301,2.2243813236495876e-05
100302,0.00034346775796863336
100303,0.001386721367603259
100304,0.0002250107413527266
100305,0.0012621394246375682
100306,0.001320464522266744
100307,2.0444171916831424e-05
100308,1.0999441004104797e-05
100309,1.0668984509626023e-08
100310,0.04897634022505443
100311,0.000768287332129876
100312,0.011329072334429589
100313,7.380940020962817e-07
100314,5.3968028526213464e-06
100315,0.00018831376011525891
100316,8.118074742313252e-07
100317,1.123809493952871e-08
100318,0.004909277701197076
100319,1.3765237472536504e-05
100320,2.06599323560802e-05
100321,1.9310306077273732e-07
100322,8.264957268499124e-06
100323,4.852679319459485e-06
100324,0.00039945639820875494
100325,1.833273667841977e-06
100326,3.3794179104568e-05
100327,3.060992794211483e-05
100328,0.0002696908657243958
100329,2.2625943078469516e-06
100330,3.890817103640927e-05
100331,2.475732317523959e-05
100332,4.905262667726318e-07
100333,1.1265996517740533e-05
100334,0.00014396514860167504
100335,8.233920135848998e-05
100336,0.015785115348324535
100337,0.0013574018410082
100338,0.009764431851317397
100339,0.0005712114968338039
100340,4.388321507667421e-06
100341,2.422347693264224e-06
100342,1.8133633716916266e-06
100343,0.00045940669500524903
100344,2.913227935234431e-06
100345,0.0004802538346545957
100346,1.3220119564332302e-06
100347,0.0024465559694900538
100348,0.00037974889753432855
100349,9.00860456771109e-09
100350,8.787827120856834e-06
100351,0.0001473762085670359
100352,0.0009412187945404125
100353,6.638465426200499e-05
100354,3.7533590801200694e-05
100355,8.444629757251201e-07
100356,0.0004949412072199579
100357,4.2327258312456714e-05
100358,4.654071981436161e-06
100359,5.0001361541029304e-05
100360,0.0006754850030315157
100361,4.321133969306253e-05
100362,1.1092493991582715e-06
100363,0.000898256179724208
100364,5.8230478818033626e-05
100365,2.1261574351291254e-05
100366,0.0014494644801512904
100367,3.1057495586186656e-05
100368,2.488073902038635e-06
100369,0.00125730417321931
100370,1.4049021487325444e-05
100371,0.00974983086427227
100372,0.0007425174489644184
100373,0.0002838455536936932
100374,0.0011456779660981417
100375,0.0016191166807840122
100376,2.0568025485429607e-06
100377,0.0005963913460155427
100378,2.176451930231771e-05
100379,6.231327110922168e-06
100380,6.553096974334578e-05
100381,0.19340805584032938
100382,1.531528972224081e-05
100383,0.9985665774285944
100384,8.675893791899259e-05
100385,0.00014143258516626986
100386,1.4528338344865582e-05
100387,6.673582931816745e-05
100388,0.0002560388646513702
100389,7.370118662223255e-06
100390,0.004277696179520665
100391,0.00038899337479169835
100392,0.0026741824224005566
100393,6.1238855680205e-05
100394,2.428560733954068e-05
100395,9.966756623075373e-07
100396,0.0052736327594972935
100397,0.0219217728220356
100398,5.5286675341036944e-05
100399,7.045094644182944e-05
100400,2.3735498984991403e-05
100401,7.901345370326824e-08
100402,4.0318453320688044e-05
100403,0.000519398099673119
100404,0.0008866925005951896
100405,1.3616766749895619e-05
100406,0.00045115254248862967
100407,0.0003675946964590669
100408,0.011708440583807113
100409,1.2888888466670448e-06
100410,0.000440670010816298
100411,0.00012465905555770904
100412,5.010719915642687e-05
100413,0.004985722926529691
100414,1.2706686812733064e-06
100415,1.9217208675883247e-06
100416,5.643727734341999e-06
100417,0.0021525028333767493
100418,1.442422409466373e-05
100419,0.00011022511235924502
100420,0.01354643709541125
100421,4.067733153078873e-06
100422,4.5763555464258266e-06
100423,1.0663569857099298e-05
100424,0.002286081160779492
100425,1.1103811473571659e-05
100426,1.1212584719899545e-06
100427,0.0001147483097205895
100428,2.917407631428406e-05
100429,0.0010736185552594948
100430,5.728046983228775e-06
100431,1.5404522402986087e-05
100432,9.107508605027044e-06
100433,6.252256849293882e-05
100434,0.0011159912112514395
100435,8.9110697917116e-05
100436,0.0012012123405368198
100437,0.0006153233515450466
100438,0.014903328545633377
100439,4.3759188666348656e-05
100440,0.15645380234034365
100441,0.0031024918267134097
100442,1.2083030013967371e-05
100443,4.2794648404787427e-07
100444,6.79920429506064e-05
100445,5.816092618704012e-05
100446,3.2902070721587622e-09
100447,0.00228773296249696
100448,4.987747560792111e-07
100449,0.0009814815578322554
100450,3.347305590236881e-05
100451,7.605679184766213e-07
100452,1.936675300216839e-06
100453,7.761711109400188e-06
100454,3.882808906006371e-05
100455,3.3312081477823765e-05
100456,1.505760728769061e-05
100457,1.1433417629043305e-05
100458,0.00017979735585545718
100459,8.587544940127414e-06
100460,0.0003945310547604974
100461,0.00020318467147655022
100462,0.00012890645585909402
100463,4.1040102486230894e-05
100464,3.0807527277188798e-06
100465,2.1778391925078717e-07
100466,1.5357985504456455e-05
100467,0.00019078574913841684
100468,0.0010423782643859043
100469,3.293681036687736e-05
100470,0.003965799006428734
100471,5.567789267834468e-06
100472,0.001105152665619592
100473,6.824275133088397e-06
100474,0.0006100593383194094
100475,0.001270997441596781
100476,1.4272699864078583e-05
100477,2.2988395862219884e-06
100478,1.3249340678236993e-07
100479,3.496296048180357e-06
100480,4.902318756488561e-06
100481,3.0617580077235766e-05
100482,4.0245863692612104e-07
100483,0.0344689251192045
100484,0.002049387519843989
